college_name,choice_code,branch,category_code,percentile,stage,year
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111619110,Civil Engineering,LNTA,71.63,Stage-II,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111619110,Civil Engineering,LOBC,70.58,Stage-II,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111624210,Computer Science and Engineering,GOPEN,75.77,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111624210,Computer Science and Engineering,GSC,57.66,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111624210,Computer Science and Engineering,GNTD,72.75,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111624210,Computer Science and Engineering,GOBC,67.43,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111624210,Computer Science and Engineering,LOPEN,76.94,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111624210,Computer Science and Engineering,LSC,69.54,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111624210,Computer Science and Engineering,LOBC,64.8,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111624210,Computer Science and Engineering,EWS,68.97,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111650710,Chemical Engineering,GOPEN,63.28,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111650710,Chemical Engineering,GNTB,58.33,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111650710,Chemical Engineering,GOBC,62.61,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111650710,Chemical Engineering,LOPEN,68.61,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111650710,Chemical Engineering,EWS,73.94,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111650710,Chemical Engineering,LOPEN,59.12,Stage-II,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111661210,Mechanical Engineering,GOPEN,64.38,Stage-I,2021
"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",111661210,Mechanical Engineering,EWS,82.15,Stage-I,2021
"Janata Shikshan Prasarak Mandal\'s Babasaheb Naik College Of Engineering, Pusad (Un-Aided)",111719110,Civil Engineering,GOPEN,57.64,Stage-I,2021
"Janata Shikshan Prasarak Mandal\'s Babasaheb Naik College Of Engineering, Pusad (Un-Aided)",111719110,Civil Engineering,LOPEN,76.0,Stage-I,2021
"Janata Shikshan Prasarak Mandal\'s Babasaheb Naik College Of Engineering, Pusad (Un-Aided)",111724210,Computer Science and Engineering,GOPEN,61.31,Stage-I,2021
"Janata Shikshan Prasarak Mandal\'s Babasaheb Naik College Of Engineering, Pusad (Un-Aided)",111724210,Computer Science and Engineering,LOPEN,77.06,Stage-I,2021
"Janata Shikshan Prasarak Mandal\'s Babasaheb Naik College Of Engineering, Pusad (Un-Aided)",111724210,Computer Science and Engineering,LSC,69.19,Stage-I,2021
"Janata Shikshan Prasarak Mandal\'s Babasaheb Naik College Of Engineering, Pusad (Un-Aided)",111724210,Computer Science and Engineering,EWS,87.43,Stage-I,2021
"Janata Shikshan Prasarak Mandal\'s Babasaheb Naik College Of Engineering, Pusad (Un-Aided)",111735610,Electrical Engg[Electronics and Power],GOPEN,65.54,Stage-I,2021
"Janata Shikshan Prasarak Mandal\'s Babasaheb Naik College Of Engineering, Pusad (Un-Aided)",111761210,Mechanical Engineering,GOPEN,84.26,Stage-I,2021
"Janata Shikshan Prasarak Mandal\'s Babasaheb Naik College Of Engineering, Pusad (Un-Aided)",111799510,Artificial Intelligence and Data Science,GOPEN,76.46,Stage-I,2021
"Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",111924210,Computer Science and Engineering,GOPEN,73.87,Stage-I,2021
"Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",111924210,Computer Science and Engineering,GNTD,60.13,Stage-I,2021
"Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",111924210,Computer Science and Engineering,GOBC,73.75,Stage-I,2021
"Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",111924210,Computer Science and Engineering,LOPEN,77.14,Stage-I,2021
"Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",111924210,Computer Science and Engineering,EWS,82.57,Stage-I,2021
"Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",111924610,Information Technology,GOPEN,83.0,Stage-I,2021
"Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",111924610,Information Technology,LOPEN,75.88,Stage-I,2021
"Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",111924610,Information Technology,EWS,79.38,Stage-I,2021
"Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",111937210,Electronics and Telecommunication Engg,GOPEN,65.43,Stage-I,2021
"Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",111937210,Electronics and Telecommunication Engg,LOPEN,72.71,Stage-I,2021
"Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",111950710,Chemical Engineering,GOPEN,78.56,Stage-I,2021
"Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",111950710,Chemical Engineering,GNTA,67.7,Stage-I,2021
"Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",111950710,Chemical Engineering,GNTD,72.61,Stage-I,2021
